week,chatgpt,gemini,microsoft_copilot
2023-08-27,56,3,1
2023-09-03,56,3,1
2023-09-10,63,3,1
2023-09-17,64,3,1
2023-09-24,66,3,1
2023-10-01,67,3,1
2023-10-08,68,4,1
2023-10-15,69,4,1
2023-10-22,71,4,2
2023-10-29,69,3,2
2023-11-05,75,3,2
2023-11-12,71,3,2
2023-11-19,75,3,3
2023-11-26,80,3,2
2023-12-03,79,10,3
2023-12-10,78,8,3
2023-12-17,62,6,2
2023-12-24,47,5,2
2023-12-31,56,5,3
2024-01-07,67,4,3
2024-01-14,65,4,4
2024-01-21,65,4,4
2024-01-28,68,4,4
2024-02-04,72,7,4
2024-02-11,72,12,6
2024-02-18,72,15,5
2024-02-25,77,15,6
2024-03-03,77,13,6
2024-03-10,74,13,6
2024-03-17,78,14,6
2024-03-24,69,12,6
2024-03-31,74,12,6
2024-04-07,75,12,6
2024-04-14,83,14,6
2024-04-21,83,14,6
2024-04-28,82,14,4
2024-05-05,78,15,4
2024-05-12,90,16,5
2024-05-19,90,17,6
2024-05-26,87,16,5
2024-06-02,96,17,5
2024-06-09,81,15,5
2024-06-16,74,15,5
2024-06-23,72,14,4
2024-06-30,68,13,4
2024-07-07,65,12,3
2024-07-14,66,13,4
2024-07-21,67,13,4
2024-07-28,68,13,3
2024-08-04,75,14,4
2024-08-11,81,14,4
2024-08-18,88,15,4
2024-08-25,100,16,5
2024-09-01,77,14,3
